Q8TBF5	PIGX
Q9Y2H6	FNDC3A
Q9BY32	ITPA
Q9Y2H8	ZNF510
Q9BY31	ZNF717
Q9NWS8	RMND1
Q9NWS9	ZNF446
A6NJ69	IGIP
O60663	LMX1B
Q96GY3	LIN37
P58658	EVA1C
O60662	KLHL41
O95256	IL18RAP
Q8N1W1	ARHGEF28
P25205	MCM3
O75807	PPP1R15A
Q9NPC3	CCNB1IP1
Q9P0P8	C6orf203
Q7L1T6	CYB5R4
Q3LXA3	TKFC
Q9P0P0	RNF181
P25208	NFYB
Q96MU6	ZNF778
Q96MU7	YTHDC1
Q6P6C2	ALKBH5
Q17RA5	C21orf62-AS1
A6QL63	BTBD11
Q8IXL6	FAM20C
A6QL64	ANKRD36
Q9H607	OCEL1
Q8TBE0	BAHD1
Q8TBE1	CNIH3
Q9NVM9	ASUN
Q8TBE3	FNDC9
Q9BYN8	MRPS26
Q8TBE7	SLC35G2
Q8TBE9	NANP
Q9BYN7	ZNF341
P30419	NMT1
Q9BYN0	SRXN1
Q9NQ66	PLCB1
Q2M3G0	ABCB5
Q9HBJ7	USP29
P20929	NEB
O75154	RAB11FIP3
Q92686	NRGN
Q96IT6	ARHGAP5-AS1
O95747	OXSR1
O95744	PMS2P2
Q9H609	ZNF576
P01834	IGKC
Q9Y5E8	PCDHB15
P33552	CKS2
Q96GN5	CDCA7L
Q15506	SPA17
O95749	GGPS1
Q8NE35	CPEB3
Q8NE31	FAM13C
Q9Y6I3	EPN1
Q8NHW6	OTOS
Q03052	POU3F1
Q8NHW4	CCL4L1
Q5VVW2	GARNL3
Q8NHW3	MAFA
Q03181	PPARD
P05067	APP
Q68DD2	PLA2G4F
P05062	ALDOB
P05060	CHGB
Q9NQI0	DDX4
Q9C0K7	STRADB
Q9C0K0	BCL11B
Q9C0K1	SLC39A8
Q9C0K3	ACTR3C
Q9UBL9	P2RX2
Q96J77	TPD52L3
O00273	DFFA
Q6UXN7	TOMM20L
Q9UBL0	ARPP21
Q9UBL3	ASH2L
Q7L2Z9	CENPQ
A6NHT5	HMX3
Q9UBL6	CPNE7
Q13823	GNL2
P03886	MT-ND1
Q8WTQ7	GRK7
Q13825	AUH
Q13829	TNFAIP1
Q01804	OTUD4
Q5T013	HYI
Q5T011	SZT2
P56545	CTBP2
Q7Z5J1	HSD11B1L
Q9NX38	FAM206A
Q9H2J4	PDCL3
A6H8Y1	BDP1
Q9H2J7	SLC6A15
Q96A22	C11orf52
Q5VTY9	HHAT
Q96NA8	TSNARE1
O95336	PGLS
Q9UQ16	DNM3
Q9UQ10	DHDH
Q7L273	KCTD9
Q15173	PPP2R5B
Q15172	PPP2R5A
Q8TD91	MAGEC3
Q13796	SHROOM2
P24347	MMP11
Q86W11	ZSCAN30
O15240	VGF
Q9H0P0	NT5C3A
O15245	SLC22A1
O15244	SLC22A2
Q0PNE2	ELP6
P59551	TAS2R60
Q5HYN5	CT45A1
Q5T0J3	C1orf220
Q12996	CSTF3
Q9BXD5	NPL
Q9NXS3	KLHL28
Q9NXS2	QPCTL
Q9Y618	NCOR2
P29475	NOS1
Q9Y616	IRAK3
Q9Y617	PSAT1
Q9Y614	ACTL7B
Q9Y615	ACTL7A
Q9Y613	FHOD1
Q08752	PPID
Q9UKY1	ZHX1
P32929	CTH
Q01105	SET
Q01101	INSM1
Q7RTT5	SSX7
P43366	MAGEB1
P32926	DSG3
P32927	CSF2RB
Q8J025	APCDD1
A4QMS7	C5orf49
Q9UIA9	XPO7
Q5U5X8	FAM222A
A4D2P6	GRID2IP
Q96D31	ORAI1
Q13790	APOF
Q9P225	DNAH2
Q5U5X0	LYRM7
Q9P227	ARHGAP23
Q8NH04	OR2T27
P51841	GUCY2F
Q08J23	NSUN2
P51843	NR0B1
Q4G0N4	NADK2
P63211	GNGT1
Q969J5	IL22RA2
P0C7H9	USP17L7
Q4G0N8	SLC9C1
Q9H3L0	MMADHC
Q5VVQ6	YOD1
Q969J3	BORCS5
Q969J2	ZKSCAN4
O43924	PDE6D
O43927	CXCL13
Q9Y6D5	ARFGEF2
Q53GA4	PHLDA2
P60673	PFN3
Q9Y6D6	ARFGEF1
Q9Y6D9	MAD1L1
P08708	RPS17
Q9BZD6	PRRG4
Q9BZD7	PRRG3
P29692	EEF1D
P78344	EIF4G2
Q9BZD3	GCOM2
P01225	FSHB
Q8N859	ZNF713
P78345	RPP38
P01222	TSHB
Q1ZZU3	SWI5
P01229	LHB
P17152	TMEM11
Q53SZ7	PRR30
P10073	ZSCAN22
P0DI81	TRAPPC2
P10071	GLI3
Q9H1R3	MYLK2
Q9H1R2	DUSP15
P10074	ZBTB48
P09038	FGF2
Q8WZ33	MAFIP
Q93015	NAT6
Q8NFP4	MDGA1
Q8NFP7	NUDT10
Q6EMK4	VASN
Q8NFP0	PXT1
P35659	DEK
P35658	NUP214
Q8N556	AFAP1
Q4W5G0	TIGD2
Q9H993	ARMT1
P27694	RPA1
P27695	APEX1
Q7LGC8	CHST3
Q8NGT2	OR13J1
Q9NRI5	DISC1
A6NP11	ZNF716
Q6ZRR9	DCDC5
P41208	CETN2
Q9UHE8	STEAP1
P69891	HBG1
Q9UHE5	NAT8
P69892	HBG2
Q8TD55	PLEKHO2
Q8NGT5	OR9A2
Q9BXA7	TSSK1B
Q9H195	MUC3B
Q9H190	SDCBP2
P20618	PSMB1
Q5NUL3	FFAR4
Q92519	TRIB2
Q86VX9	MON1A
Q7Z5D8	NANOGNB
Q15843	NEDD8
Q8NFJ6	PROKR2
P23368	ME2
P52272	HNRNPM
Q9H4Q3	PRDM13
P0CJ73	MTRNR2L6
Q9HAS0	C17orf75
Q9Y5P1	OR51B2
Q5XX13	FBXW10
Q9UEE9	CFDP1
Q96HB5	CCDC120
Q9UEE5	STK17A
Q76KP1	B4GALNT4
Q5SY16	NOL9
O75173	ADAMTS4
Q9H221	ABCG8
Q9H222	ABCG5
Q96CA5	BIRC7
O75177	SS18L1
O75175	CNOT3
Q9H227	GBA3
Q9H228	S1PR5
Q5VZM2	RRAGB
O75179	ANKRD17
Q14532	KRT32
Q05481	ZNF91
Q9BWT1	CDCA7
Q5TBB1	RNASEH2B
Q9BWT3	PAPOLG
P11215	ITGAM
O00409	FOXN3
P11217	PYGM
Q9BWT6	MND1
Q8NEP7	KLHDC9
Q8NEP4	C17orf47
Q15369	TCEB1
Q6P656	CFAP161
Q13224	GRIN2B
Q99698	LYST
Q8N146	OR8H3
Q96T68	SETDB2
Q8N144	GJD3
Q8N145	LGI3
Q8N142	ADSSL1
Q8N143	BCL6B
Q8N140	EID3
Q8N141	ZFP82
P49716	CEBPD
Q9NZD1	GPRC5D
Q96P88	GNRHR2
Q8N149	LILRA2
Q15771	RAB30
Q15773	MLF2
Q15772	SPEG
Q15777	MPPED2
Q15776	ZKSCAN8
Q6UW78	UQCC3
Q15363	TMED2
Q8WUA8	TSKU
P59901	LILRA4
Q8WUA2	PPIL4
O00400	SLC33A1
Q8WUA7	TBC1D22A
Q8WUA4	GTF3C2
O15409	FOXP2
O60294	LCMT2
Q99523	SORT1
Q99525	HIST1H4G
Q99527	GPER1
O15400	STX7
O15403	SLC16A6
Q9BQF6	SENP7
O15405	TOX3
O60613	SEP15
Q5F1R6	DNAJC21
Q0VDI3	TMEM267
Q9UG22	GIMAP2
Q8N3V7	SYNPO
Q96RR4	CAMKK2
Q6PL18	ATAD2
Q4VC05	BCL7A
Q9NYT0	PLEK2
Q5KSL6	DGKK
Q99928	GABRG3
P40337	VHL
O15090	ZNF536
Q9Y2I9	TBC1D30
P62072	TIMM10
Q9UJU2	LEF1
Q9UJU3	ZNF112
P59047	NLRP5
Q9UJU6	DBNL
P50416	CPT1A
Q9UJU5	FOXD3
Q9Y5B0	CTDP1
Q8NDV3	SMC1B
Q8NDV2	GPR26
Q8NDV7	TNRC6A
Q9Y5B8	NME7
Q9Y5B9	SUPT16H
P19021	PAM
Q0VG73	Q0VG73
Q8IUL8	CILP2
Q96PB8	LRRC3B
Q6MZP7	LIN54
Q8NHS4	CLHC1
Q9NX08	COMMD8
Q9NX09	DDIT4
P16188	HLA-A
Q9NX07	TRNAU1AP
Q9NX04	C1orf109
Q9NX05	FAM120C
Q9NX02	NLRP2
Q9NS71	GKN1
Q9NX00	TMEM160
Q9NX01	TXNL4B
Q58WW2	DCAF6
Q16880	UGT8
Q16881	TXNRD1
Q9NPA1	KCNMB3
O15079	SNPH
Q6ZUT9	DENND5B
A2A368	MAGEB16
P33897	ABCD1
Q7L7X3	TAOK1
Q13576	IQGAP2
Q03426	MVK
Q96IT1	ZNF496
Q2PZI1	DPY19L1
Q8WZA1	POMGNT1
Q8WZA0	LZIC
Q8WZA2	RAPGEF4
Q9HD26	GOPC
P62424	RPL7A
Q9HC56	PCDH9
Q9HC57	WFDC1
Q8ND94	LRRN4CL
Q9HD23	MRS2
Q9HC52	CBX8
Q9UHC7	MKRN1
Q9H6S3	EPS8L2
Q9H6S1	AZI2
Q9H6S0	YTHDC2
P48547	KCNC1
Q6PIF2	SYCE2
P48544	KCNJ5
Q01954	BNC1
Q9UJV3	MID2
Q9NZJ9	NUDT4
E9PJI5	NPIPA7
O14753	OVOL1
Q07507	DPT
P16452	EPB42
O43525	KCNQ3
Q9NZJ0	DTL
Q9NZJ6	COQ3
Q9NZJ7	MTCH1
Q05586	GRIN1
P16455	MGMT
Q6XYQ8	SYT10
P15248	IL9
A6NNY8	USP27X
Q6PIF6	MYO7B
Q96ID5	IGSF21
Q9UHC1	MLH3
Q16082	HSPB2
P10586	PTPRF
Q8NA54	IQUB
A1A5C7	SLC22A23
P10588	NR2F6
P10589	NR2F1
P13164	IFITM1
P56159	GFRA1
P01127	PDGFB
Q9Y281	CFL2
Q5T4S7	UBR4
Q9Y282	ERGIC3
Q9Y285	FARSA
Q9Y284	WDR83OS
Q9Y287	ITM2B
Q9Y286	SIGLEC7
Q9Y289	SLC5A6
Q96AC1	FERMT2
Q99943	AGPAT1
P07203	GPX1
Q9BR11	ZSWIM1
P52815	MRPL12
O95157	NXPH3
P10319	HLA-B
Q9ULG6	CCPG1
P55283	CDH4
Q96N46	TTC14
Q96C12	ARMC5
P55287	CDH11
Q96C10	DHX58
P55285	CDH6
P55289	CDH12
Q96C19	EFHD2
P56730	PRSS12
P0C2W1	FBXO45
Q5T200	ZC3H13
A1A580	KRTAP23-1
Q86VG3	C11orf74
Q9Y2W1	THRAP3
O60551	NMT2
O60806	TBX19
Q8TDZ2	MICAL1
Q9Y2W6	TDRKH
Q9Y2W7	KCNIP3
P52951	GBX2
Q96SZ6	CDK5RAP1
Q96SZ5	ADO
Q96SZ4	ZSCAN10
Q495M9	USH1G
Q8N8X9	MAB21L3
O00233	PSMD9
Q96PY6	NEK1
Q86UQ8	NFE4
Q53R12	TM4SF20
Q9H910	HN1L
Q8N436	CPXM2
Q9P0M9	MRPL27
Q9P0M6	H2AFY2
Q9P0M4	IL17C
Q9P0M2	AKAP7
Q96NI8	ZNF570
Q9Y426	C2CD2
Q9Y421	FAM32A
Q5T5S1	CCDC183
Q9Y3I1	FBXO7
Q9Y3I0	RTCB
O75414	NME6
O75417	POLQ
Q9H761	LINC00341
P05026	ATP1B1
Q9NVV9	THAP1
O00451	GFRA2
Q68D91	MBLAC2
Q9NVV2	C19orf73
Q8IVH8	MAP4K3
Q9NVV0	TMEM38B
Q9NVV4	MTPAP
Q5T2E6	C10orf76
Q96S16	JMJD8
Q8N2M4	TMEM86A
Q96S15	WDR24
P55822	SH3BGR
Q9BXW9	FANCD2
O00512	BCL9
Q6DN90	IQSEC1
P05231	IL6
O00519	FAAH
Q8N2M8	CLASRP
P17661	DES
Q8N1H7	SIX6OS1
Q8NGC9	OR11H4
P06028	GYPB
O95294	RASAL1
O95295	SNAPIN
O95297	MPZL1
O95298	NDUFC2
O95299	NDUFA10
P01033	TIMP1
P01034	CST3
P01036	CST4
P01037	CST1
P08514	ITGA2B
Q7Z6I8	C5orf24
Q9Y4E6	WDR7
Q9BXC0	HCAR1
P08047	SP1
Q8IYK8	REM2
Q8TCD1	C18orf32
Q9H501	ESF1
Q8IYK4	COLGALT2
Q7Z6I5	SPATA12
P08519	LPA
O75554	WBP4
Q13033	STRN3
Q9BYG4	PARD6G
Q8IVE3	PLEKHH2
Q8TE77	SSH3
Q8TE76	MORC4
Q8TE73	DNAH5
Q99062	CSF3R
Q8N448	LNX2
Q8N339	MT1M
Q6UB99	ANKRD11
Q6UB98	ANKRD12
Q8N441	FGFRL1
Q9P1Y5	CAMSAP3
O43504	LAMTOR5
Q8N446	ZNF843
Q4G112	HSF5
Q96R72	OR4K3
Q86U06	RBM23
P46063	RECQL
P46060	RANGAP1
P01833	PIGR
Q6AI14	SLC9A4
Q8WVE6	TMEM171
Q6AI12	ANKRD40
Q8WVE0	N6AMT2
Q92729	PTPRU
P42765	ACAA2
Q9BSG1	ZNF2
P42766	RPL35
Q9BSG5	RTBDN
P48307	TFPI2
P98066	TNFAIP6
Q9NPH6	OBP2B
Q86YA3	ZGRF1
Q9NPH5	NOX4
Q9NPH2	ISYNA1
P42768	WAS
O94967	WDR47
O94966	USP19
Q8TC12	RDH11
Q9Y6D0	SELK
Q8TC17	GRAPL
Q96JM7	L3MBTL3
P61296	HAND2
Q96JM4	LRRIQ1
P18124	RPL7
Q96JM2	ZNF462
P15407	FOSL1
P15408	FOSL2
Q9UI14	RABAC1
Q9UI17	DMGDH
Q04671	OCA2
Q9BYG3	NIFK
Q9UI10	EIF2B4
Q9UI12	ATP6V1H
P24666	ACP1
Q8WV28	BLNK
Q8WV24	PHLDA1
Q6UWR7	ENPP6
Q8WV22	NSMCE1
Q8TB03	CXorf38
Q8IWY8	ZSCAN29
Q8IWY9	CDAN1
Q86XL3	ANKLE2
Q9HCP6	HHATL
Q8IWY4	SCUBE1
Q9HCP0	CSNK1G1
O43680	TCF21
O43681	ASNA1
Q6NUN0	ACSM5
O43683	BUB1
O43684	BUB3
Q6NUN7	C11orf63
Q8N6Q1	TMCO5A
O43688	PLPP2
P22794	EVI2A
Q6NUN9	ZNF746
P22792	CPN2
Q8N6Q8	METTL25
Q6ZWH5	NEK10
P0DO92	T-ENOL
Q8N9L1	ZIC4
Q4G0S4	CYP27C1
Q3L8U1	CHD9
P58005	SESN3
Q14019	COTL1
Q5VVJ2	MYSM1
A2VCK2	DCDC2B
P60763	RAC3
P58004	SESN2
Q14012	CAMK1
Q14011	CIRBP
Q9H3W5	LRRN3
Q9HBH9	MKNK2
P19237	TNNI1
P19235	EPOR
Q9NUS5	AP5S1
Q9ULD8	KCNH3
Q8NCT1	ARRDC4
Q9HA65	TBC1D17
Q9HA64	FN3KRP
O14929	HAT1
Q9GZS3	WDR61
Q9GZS0	DNAI2
Q9GZS1	POLR1E
O14925	TIMM23
O43353	RIPK2
O14921	RGS13
O14920	IKBKB
Q8N7W2	BEND7
Q9ULZ1	APLN
Q9ULZ0	TP53TG3
Q9ULZ3	PYCARD
P34925	RYK
Q96FJ2	DYNLL2
Q96FJ0	STAMBPL1
Q5T3U5	ABCC10
Q9ULZ9	MMP17
Q6PEW1	ZCCHC12
Q7Z7E8	UBE2Q1
O60237	PPP1R12B
O60234	GMFG
O60235	TMPRSS11D
O60232	SSSCA1
O60231	DHX16
Q60I27	ALS2CL
Q6MZM0	HEPHL1
O60238	BNIP3L
O60239	SH3BP5
Q9NT99	LRRC4B
Q9Y2J8	PADI2
P80297	MT1X
O75896	TUSC2
P80294	MT1H
Q9Y2J2	EPB41L3
P47813	EIF1AX
O95159	ZFPL1
Q9Y2J4	AMOTL2
Q8N1Q8	THEM5
Q96MS0	ROBO3
P51159	RAB27A
O75899	GABBR2
Q8N1Q1	CA13
Q9UHX3	ADGRE2
Q6PIY7	PAPD4
Q15699	ALX1
P31512	FMO4
P43116	PTGER2
P18440	NAT1
Q15696	ZRSR2
Q15697	ZNF174
Q9UND3	NPIPA1
Q15695	ZRSR1
Q6P3X8	PGBD2
P11150	LIPC
Q17RG1	KCTD19
P51151	RAB9A
Q6V1P9	DCHS2
Q3SYG4	BBS9
P22891	PROZ
Q8TBC3	SHKBP1
P22894	MMP8
Q8TBC4	UBA3
P50213	IDH3A
Q63HN8	RNF213
Q15526	SURF1
Q15527	SURF2
O60336	MAPKBP1
P20941	PDC
P49888	SULT1E1
Q5T230	UTF1
Q15528	MED22
Q8IXZ3	SP8
P23945	FSHR
Q13591	SEMA5A
P01859	IGHG2
Q8WWB5	PIH1D2
Q13596	SNX1
Q13595	TRA2A
P13807	GYS1
P01850	TRBC1
Q6AZW8	ZNF660
P01857	IGHG1
P01854	IGHE
Q9BY14	TEX101
Q5TDH0	DDI2
Q9BY11	PACSIN1
Q9BY12	SCAPER
Q8NHU0	CT45A3
O60330	PCDHGA12
Q8NHU6	TDRD7
P05000	IFNW1
Q9UBN1	CACNG4
Q9UBN7	HDAC6
Q9UBN6	TNFRSF10D
P30479	HLA-B
Q8WTS1	ABHD5
O60765	ZNF354A
Q96BN6	FAM149B1
O00219	HAS3
Q96BN2	TADA1
P62714	PPP2CB
P55347	PKNOX1
O00213	APBB1
P55345	PRMT2
P15515	HTN1
Q6UXL0	IL20RB
O00217	NDUFS8
Q96BN8	OTULIN
Q7Z3Y8	KRT27
Q7Z3Y9	KRT26
P48681	NES
Q9H2L4	TMEM60
Q9H2L5	RASSF4
Q05901	CHRNB3
P59103	DAOA
Q7Z3Y7	KRT28
Q9NV35	NUDT15
Q5H9I0	TFDP3
Q9NV31	IMP3
P43307	SSR1
Q9NQ48	LZTFL1
Q9NV39	PRR34
Q9BW60	ELOVL1
Q2M243	CCDC27
A6NHM9	MOXD2P
Q3C1V8	BSX
O95352	ATG7
Q04609	FOLH1
P18465	HLA-B
P18464	HLA-B
Q9UQ35	SRRM2
Q9NWU1	OXSM
P31025	LCN1
P18463	HLA-B
P18462	HLA-A
Q9Y6W5	WASF2
Q86UB2	BIVM
P31415	CASQ1
Q6EEV6	SUMO4
Q6EEV4	POLR2M
Q86UB9	TMEM135
P43220	GLP1R
Q53H76	PLA1A
Q9BV68	RNF126
Q86VW1	SLC22A16
Q9Y639	NPTN
Q9NXU5	ARL15
Q86XN8	MEX3D
Q12979	ABR
Q12974	PTP4A2
Q86XN6	ZNF761
Q12972	PPP1R8
P29323	EPHB2
P29320	EPHA3
Q6B0K9	HBM
P62837	UBE2D2
Q9P243	ZFAT
Q8N3F0	MTURN
P62834	RAP1A
P28329	CHAT
P25815	S100P
Q9P244	LRFN1
Q04446	GBE1
P28325	CST5
P28324	ELK4
Q9UIC8	LCMT1
Q5U5Z8	AGBL2
Q969H6	POP5
Q56VL3	OCIAD2
P09238	MMP10
Q969H0	FBXW7
P09237	MMP7
P09234	SNRPC
Q96CT2	KLHL29
Q9BXG8	SPZ1
P69905	HBA1
Q96CT7	CCDC124
Q969H8	MYDGF
Q8IUN9	CLEC10A
P51828	ADCY7
Q9BZZ5	API5
Q9BZZ2	SIGLEC1
P00519	ABL1
O00590	ACKR2
Q08554	DSC1
P0C7N1	OR8U8
P51826	AFF3
Q68DH5	LMBRD2
P51825	AFF1
Q9Y6F9	WNT6
Q9Y6F8	CDY1B
Q8TAC9	SCAMP5
O43909	EXTL3
O43908	KLRC4
P02008	HBZ
Q9Y6F1	PARP3
Q9Y6F7	CDY2A
Q9Y6F6	MRVI1
Q9H8W3	FAM204A
O43900	PRICKLE3
Q9GZN1	ACTR6
O95977	S1PR4
O95976	IGSF6
O95971	CD160
Q96QR8	PURB
Q9GZN7	ROGDI
O95972	BMP15
O00398	P2RY10
Q9GZN8	C20orf27
Q9H3P2	NELFA
Q96QR1	SCGB3A1
Q9BV29	C15orf57
Q12950	FOXD4
P43489	TNFRSF4
Q9NXW2	DNAJB12
P43487	RANBP1
Q96EX1	SMIM12
Q6H8Q1	ABLIM2
Q07866	KLC1
P35638	DDIT3
Q9NRW7	VPS45
Q9NRW1	RAB6B
Q9H7Z7	PTGES2
Q6P1L8	MRPL14
Q6P1L6	ZNF343
P18847	ATF3
Q6P1L5	FAM117B
Q8NFR3	SPTSSB
Q0VAK6	LMOD3
P35637	FUS
Q07869	PPARA
P32942	ICAM3
P42574	CASP3
P42575	CASP2
Q9H7Z6	KAT8
O75995	SASH3
O75762	TRPA1
Q96HR8	NAF1
Q9H9H4	VPS37B
Q92572	AP3S1
Q9NVU7	SDAD1
Q92570	NR4A3
Q86VZ4	LRP11
Q92576	PHF3
Q86VZ2	WDR5B
Q92574	TSC1
Q92575	UBXN4
P42680	TEC
P42681	TXK
Q6IS14	EIF5AL1
Q9HAU4	SMURF2
Q9HAU5	UPF2
O75054	IGSF3
P08185	SERPINA6
Q6IQ55	TTBK2
Q86XX4	FRAS1
Q9H4W6	EBF3
Q7L775	EPM2AIP1
A6NCF5	KLHL33
Q96SA4	SERINC2
Q8N831	TSPYL6
Q6PJE2	POMZP3
Q9NRF8	CTPS2
Q8N782	ZNF525
Q9Y3L5	RAP2C
O43795	MYO1B
Q7LBE3	SLC26A9
Q02846	GUCY2D
Q5JSH3	WDR44
P80162	CXCL6
Q96HD9	ACY3
Q9UPA5	BSN
Q8WU43	C2orf15
P06850	CRH
Q5W0U4	BSPRY
Q96HD1	CRELD1
P60411	KRTAP10-9
P06858	LPL
Q13203	MYBPH
Q17R55	FAM187B
Q13201	MMRN1
Q13200	PSMD2
Q13207	TBX2
Q13206	DDX10
Q9Y3R0	GRIP1
O75197	LRP5
O75191	XYLB
Q52LA3	LIN52
Q9H244	P2RY12
O75192	PEX11A
Q92882	OSTF1
O75056	SDC3
Q5IJ48	CRB2
Q9BWV3	CDADC1
Q8NER1	TRPV1
Q9BWV1	BOC
P11230	CHRNB1
Q8NER5	ACVR1C
Q7Z434	MAVS
P11234	RALB
Q8N162	OR8H2
Q8N163	CCAR2
Q8N165	PDIK1L
P08571	CD14
P51800	CLCNKA
P07988	SFTPB
Q92887	ABCC2
Q96DZ9	CMTM5
Q15759	MAPK11
Q15758	SLC1A5
Q9Y5K1	SPO11
Q15751	HERC1
Q15750	TAB1
Q9BQD7	FAM173A
Q86X67	NUDT13
Q9BQD3	KXD1
P54198	HIRA
A1L4L8	PLAC8L1
P23771	GATA3
O15428	PIN1P1
P59923	ZNF445
P59922	OR2B8P
Q5VU43	PDE4DIP
Q9NYJ7	DLL3
Q99549	MPHOSPH8
Q9NYJ1	COA4
Q99542	MMP19
Q99543	DNAJC2
Q99541	PLIN2
Q99547	MPHOSPH6
Q6ZW76	ANKS3
Q9UG01	IFT172
Q9UEG4	ZNF629
Q96RP8	KCNA7
Q96RP9	GFM1
P10745	RBP3
Q9GIY3	HLA-DRB1
Q96RP7	GAL3ST4
Q8N3T1	GALNT15
Q2M2H8	MGAM2
Q6ZSG1	RNF165
Q8IXF0	NPAS3
P01040	CSTA
P78426	NKX6-1
Q8TAA5	GRPEL2
P21953	BCKDHB
Q8NDT2	RBM15B
O00178	GTPBP1
P52746	ZNF142
P07327	ADH1A
P78559	MAP1A
P47888	OR3A3
Q8TAA1	RNASE11
P07320	CRYGD
Q9NX20	MRPL16
Q8N511	TMEM199
Q02153	GUCY1B3
Q9NX24	NHP2
Q96DU7	ITPKC
Q02156	PRKCE
Q5SZQ8	CELF3
Q8WTU0	DDI1
A6NH52	TVP23A
P41236	PPP1R2
Q9H7T9	AUNIP
P13498	CYBA
Q9BRB3	PIGQ
Q6ZRS2	SRCAP
Q15021	NCAPD2
Q03154	ACY1
P10619	CTSA
Q06432	CACNG1
P13497	BMP1
Q03403	TFF2
Q6NZ63	STEAP1B
Q9NZH5	PTTG2
Q9NZH6	IL37
Q9NZH7	IL36B
Q9NZH0	GPRC5B
Q96S21	RAB40C
P16473	TSHR
Q8NI60	COQ8A
Q8N539	FIBCD1
Q14802	FXYD3
Q6PDA7	SPAG11A
Q9NZH8	IL36G
Q14807	KIF22
P12544	GZMA
O14771	ZNF213
O14772	FPGT
O14773	TPP1
P15260	IFNGR1
Q8N5Z5	KCTD17
O14776	TCERG1
P0CI01	SPDYE6
Q96DU9	PABPC5
O95415	BRI3
P62068	USP46
P61244	MAX
Q96L03	SPATA17
Q9UJW7	ZNF229
Q9UJW0	DCTN4
P61247	RPS3A
Q9UJW2	TINAG
Q9UJW3	DNMT3L
A6NEM1	GOLGA6L9
Q96IJ6	GMPPA
Q9UJW8	ZNF180
Q9UJW9	SERTAD3
P56693	SOX10
Q9H0K1	SIK2
P29016	CD1B
P56134	ATP5J2
Q6P4A7	SFXN4
Q9NZ81	PRR13
Q9NVQ4	FAIM
Q86TC9	MYPN
Q9HBQ8	GOLGA2P5
Q9BU89	DOHH
Q9NUN5	LMBRD1
P37287	PIGA
Q9NUN7	ACER3
Q5JVG2	ZNF484
Q3SXM5	HSDL1
Q8NCI6	GLB1L3
Q9P215	POGK
Q9BR77	CCDC77
Q9BR76	CORO1B
Q6ICG8	WBP2NL
Q658Y4	FAM91A1
Q9H1Z9	TSPAN10
P02794	FTH1
Q96CW1	AP2M1
Q6ICG6	KIAA0930
A6NMX2	EIF4E1B
O15178	T
Q9ULE0	WWC3
Q9ULE3	DENND2A
Q96C34	RUNDC1
Q9ULE6	PALD1
Q9UGP4	LIMD1
Q149M9	NWD1
Q9UGP5	POLL
Q9H1Z8	C2orf40
P0DMV8	HSPA1A
Q8NGF4	OR5AP2
O95045	UPP2
Q9BTT0	ANP32E
P51124	GZMM
Q9BTT6	LRRC1
Q9BTT4	MED10
Q71U36	TUBA1A
Q9Y2Q9	MRPS28
O95047	OR2A4
O60829	PAGE4
O60828	PQBP1
P30038	ALDH4A1
B2RPK0	HMGB1P1
Q9Y2Q0	ATP8A1
Q9Y2Q1	ZNF257
Q9Y2Q5	LAMTOR2
Q59GN2	RPL39P5
P17707	AMD1
P17706	PTPN2
Q8N8V4	ANKS4B
Q5JVS0	HABP4
Q8N8V2	GBP7
Q2TBC4	PRICKLE4
Q9P0K8	FOXJ2
P13637	ATP1A3
P18858	LIG1
Q96EY9	ADAT3
Q9H477	RBKS
Q9P0K1	ADAM22
Q96EY5	MVB12A
A5YKK6	CNOT1
P13639	EEF2
Q6NXT4	SLC30A6
Q9P0K7	RAI14
Q6NXT6	TAPT1
Q6IQ26	DENND5A
Q9UKW6	ELF5
Q6IQ23	PLEKHA7
Q6IQ22	RAB12
Q8NBE8	KLHL23
Q5BKY9	FAM133B
Q5BKY6	Q5BKY6
P78417	GSTO1
P78414	IRX1
P78415	IRX3
O60884	DNAJA2
Q9NVT9	ARMC1
Q8IY67	RAVER1
Q8NGJ7	OR51A2
P30926	CHRNB4
P20142	PGC
Q8TCG1	KIAA1524
Q9UM47	NOTCH3
Q8IUB2	WFDC3
P28799	GRN
Q15038	DAZAP2
Q96S37	SLC22A12
Q15036	SNX17
Q6PDB4	ZNF880
Q15034	HERC3
Q15035	TRAM2
O00533	CHL1
Q96MZ4	FAM218A
Q86V97	KBTBD6
O15164	TRIM24
O15165	LDLRAD4
O15162	PLSCR1
Q6P5S2	LEG1
O15160	POLR1C
Q2M2E5	C5orf64
Q9H1Z4	WDR13
Q15477	SKIV2L
O15169	AXIN1
Q8IYI8	ZNF440
P50616	TOB1
Q9NPB6	PARD6A
Q9BXM9	FSD1L
P08069	IGF1R
Q8NGM9	OR8D4
Q8NGM8	OR6M1
Q8IYI0	C20orf196
Q6IPR3	TYW3
Q9BXM7	PINK1
Q8N365	CIART
Q6P087	RPUSD3
Q9BXM0	PRX
Q8IYI6	EXOC8
Q9Y4K1	AIM1
Q96R54	OR14A2
Q4VCS5	AMOT
Q5JPE7	NOMO2
Q9BYI3	FAM126A
P56539	CAV3
P32881	IFNA8
P50613	CDK7
Q8TCT6	SPPL3
A8MVS1	ZNF705F
P62993	GRB2
D6RGH6	MCIDAS
P62995	TRA2B
Q8NBQ5	HSD17B11
